document_id,keyword
95,"Radio Frequency Identification"
95,RFID
95,Security
96,"Minimal Instruction Set Computing"
96,"One Instruction Set Computing"
96,"Reed Solomon"
222,"gerneral dynamic website"
222,HTML
222,"static website"
222,"web 2.0"
222,website
222,XTHML
223,hand-motion
223,Mechanomyography
223,"principal component analysis"
223,"quadratic classifier"
224,"Cardio-muscle proteomics"
224,Problems
224,Proteins
224,Proteomics
224,"Sports science"
225,Bioinformatics
225,"Sequence Analysis"
225,"Visual Analytics"
226,bioinformatics
226,"gene ontology"
226,microarray
226,"user evaluation"
226,"visualization design"
227,"Biometric-Based Identification"
227,Fingercode
227,"Secure Signal Processing"
227,"Signal Processing in the Encrypted Domain"
228,"forensic biometry"
228,"SNR estimation"
228,"speaker recognition"
228,"voice/noise detection"
229,"Classifiers Combination"
229,"User Authentication"
229,"Voice Security System"
230,"biometric recognition"
230,"digital heart sounds analysis"
230,"Gaussian Mixture Models"
231,"Digital Image Watermarking"
231,"Discrete Cosine Transform"
231,"Human Visual System"
231,"Neural Network"
232,Biometric
232,"Card less - Payment System"
232,Fingerprints
233,"Information Hiding"
233,"Multimedia Messaging Service (MMS)"
233,Steganography
233,Watermarking
234,confidentiality
234,"ID-based cryptography"
234,KEM
234,signcryption
234,unforgeability
235,"Gait Recognition"
235,"Maximal information compression index"
236,"Gait Stability"
236,"More Stable Gait"
236,"Wave Gait"
237,"(MuFS) mutual authentication scheme"
237,"Biometric authentication"
237,Biometrics
237,Commitment
237,"Device authentication"
237,"Multiple Fingers Synchronization"
238,"Bifurcation and ending points"
238,"Biometric identification"
238,"Cooccurrence matrix"
238,"Entropy thresholding"
238,"Image segmentation"
238,"Retinal Recognition"
238,"Retinal vessel tree"
239,biometry
239,"fuzzy sketches"
239,Iris
239,"min-sum decoding"
240,biometric
240,"gender classification"
240,iris
241,3D
241,"active shape model"
241,"face profile extraction"
241,"facial data"
241,"Profile-based Face Recognition"
242,"gold&#150;PDMS composite"
242,"Localized Surface Plasmon Resonance"
242,"Plasmonic biosensor"
243,"breathing prediction"
243,"feed-forward backpropagation network"
243,radiotherapy
243,"Volterra polynomial"
244,"Asynchronous Brain-Computer Interface (BCI)"
244,"dimension reduction"
244,"ensemble methods"
244,"idle state"
244,"linear spatial filtering"
244,resampling
244,SABIN
245,"brain-computer interface (BCI)"
245,"electroencephalography (EEG)"
245,"Hidden Markov Models (HMMs)"
245,"motor Imagery classification"
246,fMRI
246,regression
246,regularization
246,"spatial structure"
246,"Total Variation"
247,"coverage system"
247,"field testing"
247,"Metro TV"
248,"abstract intelligence"
248,"artificial intelligence"
248,"cognitive computers"
248,"cognitive computing"
248,"Cognitive informatics"
248,"computational intelligence"
248,"concept algebra"
248,"denotational mathematics"
248,eBrain
248,"engineering applications"
248,"granular algebra"
248,ICCI
248,"machinable intelligence"
248,"natural intelligence"
248,RTPA
248,"system algebra"
248,"visual semantic algebra"
249,"Coding theory"
249,"iterative coding techniques"
250,"burst error-correction"
250,"generalized concatenated codes"
250,"interleaving algorithm"
250,"multilevel codes"
250,"optimal interleaving"
251,FFT
251,"High- Resolution SAR image classification"
251,"Spotlight mode"
251,SVM
252,"High levei image understanding"
252,"invariant signatures"
252,"spatial relationships"
253,"interactive services"
253,"Java ME"
253,"mobile application"
253,"news access"
253,"open technologies"
253,portal
253,"virtual community"
254,"Garello's algorithm"
254,"QPP interleaver"
254,"turbo code"
255,"indoor optical wireless communication"
255,"interference reduction"
255,OCDMA
255,"spreading code"
256,"discrete logarithm"
256,"legacy warrant"
256,OBU
256,"proxy signature"
256,RSU
256,"Schnorr signature"
256,VANET
257,Catheter
257,"Force Monitoring"
257,"Force Sensor"
257,Mechanism
257,"Minimally Invasive Surgery (MIS)"
258,"EEGs Bereitschaftspotential"
258,"event-related desynchronization"
258,intention
258,"voluntary movement"
259,"3D reconstruction"
259,"binocular vision"
259,"Colonoscope shape display"
259,FBG
260,"histogram template matching"
260,"ODA hot spots"
260,"optimal docking area"
260,"Protein-protein interface"
261,"Admitting party member"
261,"Delphi Method"
261,"Evaluation system"
261,"Information Management Systems"
262,"feature library"
262,"intrusion detection"
262,IPv6
263,model
263,stability
263,"wireless communication"
264,"global asymptotic stability"
264,model
264,"wireless communication"
265,Chaos
265,"Hopfield Neural Network"
265,Horseshoe
265,"Limit Cycle"
265,"Poincar&#x00E9; Map"
265,"Topological Entropy"
266,"coefficients estimation"
266,"compressed video"
266,"DCT domain"
266,"Super resolution"
267,"Biomedical Informatics"
267,"Computational Intelligence"
267,"Knowledge Discovery"
267,"Microarray Expression Data Analysis"
267,"Web-Based Biomedical Literature Search"
268,"Iris quality evaluation"
268,"iris recognition system"
268,"Iris segmentation evaluation"
268,"non-ideal iris recognition"
269,"Iris recognition"
269,"multi-level image thresholding"
269,"multi-level iris video image thresholding"
269,"video image"
340,"Homographic Transformation"
340,"Particle Filter"
340,"Vehicle Tracking"
341,"human-robot interaction"
341,"mode confusion"
341,"qualitative spatial representation and reasoning"
341,"user focus"
342,"human-computer interaction"
342,"human-technology interaction"
342,paradigms
342,"psychological and metascientific foundations for designing human-technology interaction"
342,"user psychology"
343,"average-case analysis"
343,"data cube"
343,OLAP
343,pre-aggregation
343,"range-sum query"
343,updates
344,"content-based image retrieval"
344,"Relevance feedback"
344,"semantic gaps"
345,Locator/Identifier-Split
345,"Next Generation Internet"
345,Privacy
345,Security
345,Service
346,"body area network"
346,"health monitoring"
346,"wireless sensors networks"
347,"aging in place"
347,"assistive technology"
348,WiFi
348,WiMAX
348,"Wireless Access Networks"
348,"Wireless Mesh Networks"
349,"fast mode decision"
349,H.264/AVC
349,"traffic surveillance"
350,FFT
350,"Munich and Cambridge models"
350,"Psycho-acoustic model"
350,"Wavelet Paquet Decomposition"
351,Multipath
351,PSQA
351,QoE
351,VDN
351,"Video streaming"
352,"media streaaming"
352,"peer selection"
352,peer-to-peer
352,"ranking peer"
352,"standby and active sender"
376,"Interfacial reactions"
376,Intermetallic
376,"Pb-free solder"
376,"Sn-Ag alloys"
376,"Sn-Ag-Cu alloys"
377,Composites
377,"Graphite nanoplatelets"
377,"Thermal conductivity"
377,"Thermal interface materials"
378,"Capacity Loss Components"
378,"Cycle time"
378,"Industrial Engineering"
378,"Manufacturing Efficiency"
378,"Operational Curve"
378,"Overall Equipment Efficiency (OEE)"
378,"Overall Equipment Productivity (OEP)"
378,SEMATECH
378,"Tool Utilization"
378,X-factor
378,"X-factor Contribution"
379,"Chemical Mechanical Planarization (CMP)"
379,"Cost of Ownership (COO)"
379,"Index of refraction (IoR)"
379,"Supervisory Control And Data Acquisition (SCADA)"
380,"reliability qualification"
380,"reliability test modeling"
380,SEMI-E10
380,"test sequencing"
380,"Wafer scanner software"
381,"force measurement"
381,MEMS
381,"planter pressure"
381,sensor
382,DDS
382,"electric impedance"
382,FPGA
382,"Hardware In the Loop"
382,"piezoelectric transducer"
382,"ultrasonic sensor"
409,3DTV
409,"Depth map estimation"
409,DIBR
409,"Stereo vision"
410,"Ad hoc networks"
410,"Routing protocols"
410,"Wireless communications"
411,"biocorrosion signal"
411,"fractional Fourier transform"
411,"Hurst parameter"
411,"long range dependence"
411,"parameter estimation"
412,"adaptive filter"
412,ECG
412,"fault tolerant"
412,"noise cancellation"
413,"biometric pen"
413,"handwriting dynamics"
413,"script generator model"
413,"support vector machine"
414,"Adaptive terminal cost receding horizon control"
414,"Heuristic dynamic programming"
414,"Receding horizon control"
414,Stability
415,"Genetic algorithms"
415,"Helicopter control"
415,"Inverse simulation"
415,"MIMO systems"
415,"Optimization methods"
416,"generalized threshold gate"
416,"monostable-bistable logic element"
416,"multi threshold threshold gate"
416,"resonant tunneling diode"
416,"threshold gate"
417,"Business Process Modeling"
417,"requirements changes"
417,"requirements engineering"
417,"requirements management"
418,"quantum entanglement"
418,"Quantum informatics"
418,"quantum spin"
418,"wave probabilistic functions"
419,"Chinese Remainder Theorem"
419,"Memoryless Converter"
419,"Mixed Radix Conversion"
419,"Residue Number System"
419,"Reverse Converter"
467,directivity
467,"gap coupled antenna"
467,"impedance bandwidth"
467,"Microstrip antenna"
467,"radiation patterns"
468,"Dual-band microstrip antenna"
468,"shorting pins"
469,Antenna
469,"Fractal Geometry"
469,"Resonant Frequency"
469,"Ultra wideband (UWB)"
470,Broadband
470,"circular polarization"
470,HIPERLAN/2
470,"proximity coupled microstrip antenna"
471,Bluetooth
471,GPS
471,"Microstrip antenna"
471,"proximity coupled"
471,short-circuited
472,"Microstrip Antenna"
472,"Microstrip Fractal Yagi Uda Antenna"
472,"Resonant Frequency and Multi-band"
473,"Circularly polarised antenna"
473,"EMCP antenna"
473,"High gain antenna at X-band"
473,"Wide bandwidth antenna"
474,"Finite Difference Time Domain Method and Method of Moments"
474,"Finite Element Method"
474,"Rectangular Patch antenna"
475,Antennas
475,"Microstrip arrays"
476,"adaptive integral method"
476,"Electromagnetic scattering"
476,"fast Fourier transform (FFT)"
476,"method of moments"
476,radiation
477,cantilever
477,electrostatic
477,microelectromechanical
477,"quasi-static model"
478,antenna
478,microstrip
478,"partial ground plane"
478,"Ultra wide band"
479,ADSL
479,"conducted emission"
479,"earth resistance"
479,"radiated emission"
480,"Bunched Concept"
480,"radio propagation"
481,"FIR Filter"
481,FPGA
481,Matlab
481,VHDL
481,Xilinx
482,"Multimode interference (MMI)"
482,"optical power splitter"
483,adversarial
483,"FIFO queuing model"
483,"optimum packet size"
483,"packet loss"
483,voice
484,C-core
484,"electrical steel sheets"
484,"magnetic properties"
484,"one-dimensional magnetizing system"
485,"equatorial anomaly"
485,GPS
485,"magnetic storm"
485,Scintillation
485,TEC
515,"bismuth ferrite lead titanate"
515,"pulsed laser deposition"
515,SEM
515,XRD
516,"CSD ZnO film"
516,"FPW device"
516,"lattice match"
516,sputtering
517,lead-free
517,MEMS
517,piezoelectric
517,sol-gel
517,"thin film"
518,"bismuth sodium potassium titanate"
518,piezoelectric
518,"reactive templated grain growth"
518,texture
519,"barium titanate"
519,"bismuth sodium titanate"
519,heater
519,lead-free
519,PTC
520,"crystal growth"
520,"piezoelectric property"
520,"silver lithium niobate"
520,"single crystal"
520,"space group"
521,"Lead-free Ceramic"
521,Piezoelectric
521,PZT
628,"convective accelerometer"
628,MEMS
628,"package influence"
629,"All metal in line series ohmic RF MEMS switch"
629,"distributed actuation force"
629,hammerhead
630,"Embodied Cognition"
630,"Perceptual Development"
630,"Sensory Aids"
630,"Tactile Systems and Their Development"
631,"Human-Robot Interaction"
631,"Humanoid Robots"
631,"Imitation and Social Learning"
631,"Skill Acquisition"
632,"dynamic field model"
632,"intention understanding"
632,"joint action in autonomous robots"
632,"mirror neurons"
632,"social development"
633,infancy
633,"numerosity discrimination"
633,"Williams syndrome"
634,"action control"
634,android
634,children
634,"social cognition"
635,"Complex Cognition"
635,"Problem Solving"
635,"Reinforcement Learning"
636,Autism
636,"learning environments"
637,"disparity tuning"
637,"natural images"
637,"neural network"
637,"reinforcement learning"
637,vergence
638,"Intrinsic and extrinsic rewards"
638,"reinforcement learning"
639,"adaptive robotics"
639,"body image/schema extension"
639,contingency
639,"embodied intelligence"
639,"sensor fusion"
639,Tool-use
640,"Causal Reasoning"
640,Development
640,Explanation
640,Probability
640,Simplicity
641,"language acquisition"
641,"lexical semantics"
641,"perceptual symbol systems"
641,"unsupervised learning"
642,"Language Acquisition"
642,"Multimodal Integration"
642,Robotics
642,"Speech Recognition"
642,"Statistical Language Modeling"
643,"autonomous agents"
643,"decision making"
643,objects
643,Q-Learning
644,Bottom-up
644,"Discrete cosine transform"
644,"Principal component analysis"
644,Saliency
644,"Visual attention"
645,"developmental robotics"
645,"Learning systems"
645,"surprise-based learning"
645,"unsupervised learning"
646,GRC
646,"IT Governance"
646,"IT Management"
646,ITIL
646,Survey
647,"differential image foresting transform"
647,"fuzzy classification"
647,"genetic programming"
647,"Graph-based image segmentation"
647,"image feature selection and/or combination"
647,"multiscale image filtering"
648,"error resilience"
648,"forward error correction"
648,"multiple description coding"
648,"Scalable source coding"
649,"affective computing"
649,"Emotion recognition"
649,"spectro-temporal features"
649,"speech processing"
650,"feature points"
650,QIM
650,SIFT
650,synchronization
650,Watermarking
651,constraint
651,"Event related potential (ERP)"
651,P300
651,"Particle filter"
651,subcomponent
652,DSP
652,EDMA
652,H.264
652,Optimization
652,Real-time
653,"array processing"
653,"Direction of arrival (DOA) estimation"
653,"joint iterative optimization methods"
653,"reduced-rank methods"
653,"subspace decompositions"
654,"modulo 2<sup>n</sup>+1 circuits"
654,"normal and diminished-one number"
654,representation
654,"Residue number system"
654,subtraction
655,"Digital Cinema"
655,"H.264 FRExt"
655,"JPEG 2000"
655,"Motion compensated temporal filtering"
656,Accreditation
656,"Distant learning"
656,E-learning
656,"Quality in education"
657,"Adaptive Learning"
657,Assessment
657,"Continuous Evaluation"
657,"Flash Animations"
657,ICT
657,"individualised instruction"
657,"Intelligent Tutoring Systems Spiral Learning"
657,Interactive
657,"Mastery Learning"
657,"Mixed Presentation"
657,"special needs"
658,"educational technology"
658,"factor analysis"
658,"higher-order cognition"
658,psychometrics
658,"user modeling"
659,"opinion map"
659,"real-time asynchronous feedback"
659,"Tukey Box plot"
659,"Tukey Box+ plot"
659,video
659,visualization
660,"Black-Scholes partial differential equation"
660,"Option Pricing"
660,"Parameter estimation"
660,QPSO
661,"Artificial Neural Networks"
661,"Backpropagation Neural Network model"
661,"Border Intrusion Detection"
661,"Wireless Sensor Network Application"
661,"Wireless Sensor Networks"
662,agent
662,"conversation protocol"
662,heterogeneous
662,KQML
663,"Cross- authorization"
663,"Electronic money"
663,"Fourth party paymentt"
663,"Unified payment protocol"
664,"autonomic business process"
664,"optimal control"
664,"Sense-and-Respond system"
664,"system dynamics"
665,"cognitive style"
665,e-learning
665,usability
666,"anti-phishing education"
666,e-learning
666,"information security"
666,web-learning
667,"autonomous epistemology"
667,"byzantine fault tolerance"
667,"game-theoretic epistemology"
667,"system configuration"
668,CDIO
668,"human machine interface teaching"
668,"interaction teaching"
668,"practice education"
668,"team development"
669,imperfection
669,improvement
669,"multimedia technology"
669,"traditional teaching"
669,"university physics"
670,"Distance Learning"
670,"Management Platform"
670,"Soft Switch"
671,"automatic control theory"
671,"independent college"
671,"teaching reform"
672,"Artificial neural networks"
672,"defect identification"
672,"Finite element method"
672,"Inverse problem"
673,"blearning environment"
673,"dc-to-dc converters"
673,"power electronics"
673,"programmable instrumentation"
674,"Booking System"
674,"LabVIEW Technologies"
674,"Network security"
674,"Remote Control"
674,"Shared Variables"
675,"genetic algorithm"
675,"grey forecasing t model"
675,optimization
675,"regional gross national product"
676,"management information system"
676,"marketing management"
676,"processing enterprise"
676,"purchasing management"
677,Alfalab
677,collaboration
677,humanities
677,KNAW
677,"Virtual research environments"
677,"Virtual research Infrastructure"
677,VRE
677,VREs
678,eHumanities
678,EII
678,"Information Integration"
678,"Semantic Portals"
678,Semantics
678,"Topic Maps"
678,"Web 3.0"
679,"Economics-Driven Software Engineering"
679,"Maintenance and Evolution."
679,"Mining Software Repositories"
835,Convergence
835,IPTV
835,"strategic moves"
835,"value chain"
835,VOD
836,laser
836,"optical storage systems"
836,"systems dynamics"
836,"Technology systems"
837,"Sense of belonging"
837,taxi
837,"technology use"
838,"analytic network process"
838,"New product development"
838,"planning and design"
838,"SMART2 evaluation model"
838,"zero-one goal programming"
839,"Bass diffusion model"
839,"bibliometric analysis"
839,CFD
839,"management of technology"
840,"competitive intelligence"
840,"consumer behavior"
840,"innovation management"
840,"Strategic Foresight"
840,"technology intelligence"
841,"disruptive innovation"
841,"laggard evolutionary technology"
841,"mainstream evolutionary technology"
841,"technical systems evolution route"
842,Delphi
842,Nanocomposite
842,Patent
842,"Technology Trajectory"
843,"bibliometrics analysis"
843,"commercial environment analysis"
843,"commercial prospect"
843,"Emerging technology"
843,"technology maturity"
844,capabilities
844,entrepreneurship
844,"firm growth"
844,innovation
844,"resource-based view"
844,"university spin-outs"
845,"Customer segmentation"
845,"Data mining"
845,"Population drift"
845,"Spatial drift"
846,"Dynamic clustering"
846,"Hidden Markov model"
846,"Web mining"
847,"B2C e-commerce"
847,"Empirical research"
847,"Evaluating system"
847,Trust
848,"association rules"
848,CRM
848,"purchase patterns"
848,"subjective interestingness"
849,"data quality"
849,"database management"
849,"geographic information systems (GIS)"
849,quality
850,"Chinese product review"
850,"internet-based algorithm"
850,PMI-IR
850,"sentiment classification"
851,competition
851,Linux
851,"open-source software"
851,"optimal control"
851,Windows
852,China
852,ERP
852,"process of performance"
852,usage
853,Beyes
853,"citation removal"
853,"content extraction"
853,plagiarism
853,"thesis structure"
854,"data quality"
854,"field study"
854,"influencing factors"
854,"information system"
855,"bag of sentences"
855,"multi-instance learning"
855,"text classification"
855,"text representation"
856,"co-authorship network"
856,"hot research topics"
856,"management science"
856,"scientific collaboration"
856,"social network"
857,"multiple criteria decision making"
857,ontology
857,OWL-S
857,QoS
857,"Web service selection"
858,"data mining"
858,extenics
858,"intelligent knowledge"
858,"management model"
859,"active current"
859,"active power"
859,compensation
859,"non-active current"
859,"nonsinusoidal currents"
859,"power theory"
860,"active filter"
860,"instantaneous power"
860,micro-grids
860,"p&#x2013;q Theory"
860,"power conditioner"
860,"weak electrical systems"
861,dvelopment
861,"technological economics"
862,"Educational practice"
862,"Feedback theory"
862,"Global theory"
862,"Ordered theory"
863,"innovation capability"
863,"practical teaching"
863,practice
863,teaching
863,"Ultrasonic Testing(UT)"
864,"Based electronic experiment"
864,"Global optimization"
864,Introduction
864,"Primary engineered abilities"
864,"Reform of experimental teaching"
865,"innovative quality"
865,"mining construction engineering"
865,"project teaching method"
865,"teaching reform"
866,"common colleges of Hebei province"
866,"gym instructor"
866,"vocational burnout"
867,controllability
867,observability
867,"particle swarm optimization"
867,"power system stabilizer"
867,"root locus"
868,"CPF analysis"
868,SVC
868,TCSC
868,"Voltage Stability"
869,FACTS
869,"Genetic algorithm"
869,Optimization
869,"Power oscillation damping(POD)"
869,"Power system stabilizer(PSS)"
870,documentation
870,procedures
870,troubleshooting
870,writing
871,"Iranian EFL setting"
871,"online instruction"
871,"writing skill"
872,eLearning
872,"media literacy"
872,"multimedia authoring"
873,benefits
873,challenges
873,literature
873,m-learning
874,"audience awareness"
874,"engineering writing"
874,Wikis
875,adaptability
875,assessments
875,groupware
875,tailorability
876,education
876,"effective communication"
876,"good principles"
877,"discourse markers"
877,"oral presentation"
877,PowerPoint<sup>&#x00AE;</sup>
877,"text structure"
878,collaboration
878,"collaboration technologies"
878,"communities of practice"
878,"situated learning"
878,"virtual teams"
879,"safety icons"
879,semiotics
879,usability
879,"visual rhetoric"
880,"body of knowledge"
880,"content analysis"
880,"focus group"
880,interviews
880,"observation and participation"
880,"qualitative research"
880,"qualitative research methods"
880,"quantitative research"
880,"technical communication"
880,"technical communication journals"
880,"usability test"
881,trust
881,Usability
881,"website evaluation"
882,900MHz
882,"Dipole Antenna"
882,"Fractal Antenna"
882,"Koch Fractal"
883,"bandwidth requirement and power efficiency"
883,"Modulation schemes"
883,"transmission capacity"
884,communication
884,"dual stack"
884,"IPv6 network"
884,tunnel
885,authentication
885,design
885,"extensible authentication protocol (EAP)"
885,modeling
885,simulation
886,"morphological image processing"
886,"speaker recognition"
886,spectrogram
886,"UMACE filter"
886,"voice print analysis"
887,BER
887,"Copyright protection"
887,PSNR
887,"Video watermarking"
887,"Wavelet transform"
1064,Battery
1064,charger
1064,"series-parallel resonant converter"
1064,"soft-switching converter"
1065,"cold cathode fluorescent lamp (CCFL)"
1065,"parallel resonance"
1065,push-pull
1066,"health monitoring system"
1066,"induction motors"
1066,"vibration detection"
1066,"wireless sensor network"
1066,ZigBee
1067,"Current Source Converter"
1067,"Hybrid Multi-terminal HVDC"
1067,"Voltage Source Converter"
1067,"Weak or Passive System"
1067,"Wind Power"
1068,"AC generators"
1068,grounding
1068,"uninterruptible power systems"
1069,"cell phone"
1069,democracy
1069,"fixed effects model"
1069,ICT
1069,internet
1070,"Business Economics"
1070,Communication
1070,ICTD
1070,"Mobile Communication"
1070,MSE
1070,"Social Factors"
1071,Education
1071,Evaluation
1071,Malawi
1071,Technology
1072,Africa
1072,HCI
1072,health
1072,ICTD
1072,"mobile phone"
1072,"participatory design"
1073,"Central Asia"
1073,"digital games"
1073,entertainment
1073,gender
1073,ICTs
1073,"international development"
1073,"Internet cafes"
1073,"technology use"
1074,"intelligent topic map"
1074,"knowledge logical organization"
1074,"topic map"
1075,MapServer
1075,OpenLayers
1075,S-57
1075,"ship monitoring system"
1075,WebGIS
1076,DiffServ
1076,MPLS
1076,"traffic engineering"
1077,"Fourier transform"
1077,"license plate recognition"
1077,"wavelet transform"
1078,"chromosome encoding"
1078,"examination timetabling problem"
1078,"genetic algorithm"
1078,Operator
1079,cluster
1079,"data mining"
1079,"spatial location of matrix"
1080,IPv6
1080,"mobile wireless"
1080,"wearable computer"
1081,"Flow size distribution entropy"
1081,"IP backbone monitoring"
1081,"Port scanning"
1081,"Real time port scan detection"
1081,"Sequential hypothesis testing"
1082,"blind Watermarking"
1082,GA
1082,SVD
1083,"Computing with Intervals"
1083,"Computing with Lists"
1083,"Infinite Byte"
1083,"Interval-valued Logic"
1083,"Natural Computing"
1083,"Nonstandard Computing"
1083,"Parallel Systems"
1084,"component development"
1084,jBPM
1084,logistics
1084,OSGi
1084,RFID
1085,"Access Controlling"
1085,"Data Sharing"
1085,"Secure Computer"
1085,Xen
1086,Bioreactor
1086,Membrane
1086,"Simulation Intellectualization"
1086,"Trial model"
1087,"Information Systems"
1087,"Project Team"
1087,"System Estimate"
1089,CNT
1089,modeling
1089,"optimum delay"
1089,"process variability"
1089,schottky-barrier
1089,"surface potential"
1090,"booster circuit"
1090,"low power"
1090,SRAM
1090,yield
1091,"FPGA design"
1091,"hybrid CMOS-NEMS"
1091,"low power"
1092,FD/SOI
1092,low-power
1092,SRAM
1092,stability
1093,clocking
1093,"magnetic logic"
1093,nanotechnology
1093,QCA
1094,CMP
1094,"energy efficient"
1094,near-threshold
1094,subthreshold
1095,chip-multiprocessor
1095,"dynamic voltage/frequency scaling"
1096,"chip multi-processor"
1096,"dynamic voltage scaling"
1096,"fetch throttling"
1096,power-aware
1097,"FMAX distribution"
1097,multi-core
1097,"parameter fluctuations"
1097,"parameter variations"
1097,"throughput distribution"
1098,"Distributed Control"
1098,EKF
1098,"Fault Tolerant Control"
1098,"Mobile Robotics"
1098,"Real-Time Linux"
1098,"Sliding Mode"
1099,"antenna array"
1099,"axial ratio"
1099,"cross-shaped aperture-coupled antenna"
1099,"high gain"
1099,"Ka band"
1099,"L-circular polarization"
1100,"pattern reconfigurable"
1100,"PIN diode"
1100,"slot antenna"
1101,"coaxial cable"
1101,"printed monopole antenna ultra wideband (UWB)"
1101,"semicircle radiation patch"
1102,"CBS antenna"
1102,"high gain"
1102,RFID
1103,"interferometric synthetic aperture radiometry"
1103,SMOS
1104,"Radiometer calibration"
1104,Radiometry
1104,SMOS
1105,"Bare soil"
1105,L-band
1105,Radiometry
1105,SMOS
1105,"Soil moisture"
1105,"Soil roughness"
1105,Tillage
1106,"bandpass filter"
1106,"bandstop filter"
1106,"circuit modelling"
1106,"Defected Microstrip Structure (DMS)"
1106,"millimetre wave"
1107,"Decomposition of wavefronts"
1107,"indoor propagation"
1107,"ray tracing"
1107,"ray tube tracing"
1108,"Beacon vector routing"
1108,"compact routing"
1108,"hierarchical routing"
1108,"point-to-point routing"
1108,"shortest-path routing"
1108,"wireless sensor network"
1109,Interference
1109,Routing
1109,Scheduling
1110,communication
1110,dependency
1110,Self-healing
1110,sensing
1110,tracking
1110,"wireless sensor networks"
1111,"Installation Topology"
1111,"Power Line Network Technology"
1111,"Single Line Network Installation"
1112,"Position measurement"
1112,Safety
1112,"Velocity measurement"
1113,CAN
1113,overclocking
1113,soft-core
1113,"transmission jitter"
1114,"Functional Safety"
1114,Tests
1114,VHDL
1115,"IEC 61508"
1115,"IEC 61511"
1115,PCE
1115,PFD
1115,"proof test"
1115,SIL
1116,"power engineering curriculum"
1116,"power engineering education"
1116,"power engineering resources"
1116,"power engineering workforce"
1116,"Smart grid"
1117,"distributed resources"
1117,"distribution engineering"
1117,"power distribution systems"
1117,"power system engineering"
1117,"renewable resources"
1118,"Electrical power systems"
1118,Hyperplane
1118,WECC
1118,"Wide-area dynamic security region"
1119,"Bus impedance matrix"
1119,"Current measurement"
1119,"Double-circuit transmission line"
1119,"Fault location"
1120,Microgrid
1120,"Transient Modeling and Analysis"
1120,"Validation and Demonstration"
1121,"Electrical Energy Market (EEM)"
1121,"Real-time Centre Of Angles (COA)"
1121,"Synchronous generators"
1122,"Asynchronous rotating machines"
1122,"DC motors"
1122,diodes
1122,"Electromagnetic fields"
1122,"Horizontal-axis wind turbine"
1122,"renewable energy"
1122,transistors
1122,"Vertical-axis wind turbine"
1122,"wind energy"
1122,"Wind Turbines"
1123,"adapted underwater positioning"
