document_id,category,original_text,stemmed_text,word_count,keyword_percentage
75,Aerospace,"We present the design and implementation of an open-set text-independent speaker identification system using genetic learning classifier systems (LCS). We examine the use of this system in a real-number problem domain, where there is strong interest in its application to tactical communications. We investigate different encoding methods for representing real-number knowledge and study the efficacy of each method for speaker identification. We also identify several difficulties in solving the speaker identification problems with LCS and introduce new approaches to resolve the difficulties. Experimental results show that our system successfully learns 200 voice features at accuracies of 90 % to 100 % and 15,000 features to more than 80% for the closed-set problem, which is considered a strong result in the speaker identification community. The open-set capability is also comparable to existing numeric-based methods","we present the design and implementation of an open-set text-independent speaker identification system use genetic learning classifier system -LRB- lc -RRB- . we examine the use of this system in a real-number problem domain , where there be strong interest in its application to tactical communication . we investigate different encode method for represent real-number knowledge and study the efficacy of each method for speaker identification . we also identify several difficulty in solve the speaker identification problem with lc and introduce new approach to resolve the difficulty . experimental result show that our system successfully learn 200 voice feature at accuracy of 90 % to 100 % and 15,000 feature to more than 80 % for the closed-set problem , which be consider a strong result in the speaker identification community . the open-set capability be also comparable to exist numeric-based method",133,0
76,Aerospace,"While there has been a nominal effort to develop automatic target recognition (ATR) technologies for military systems for the last couple of decades, there have been relatively few significant breakthroughs. At the same time, the evolution of some of our missions has made it more desirable to achieve solutions from this technology to meet some of the escalating operational challenges. This paper is intended to identify and characterize some areas where ATR algorithms might materially improve our operational capability","while there have be a nominal effort to develop automatic target recognition -LRB- atr -RRB- technology for military system for the last couple of decade , there have be relatively few significant breakthrough . at the same time , the evolution of some of our mission have make it more desirable to achieve solution from this technology to meet some of the escalate operational challenge . this paper be intend to identify and characterize some area where atr algorithm might materially improve our operational capability",79,0.2
77,Aerospace,"Phase Shift- Keying (PSK) modulation has been applied widely in most of the data communication system nowadays due to its noise immunity and bandwidth efficiency capability. Analysis of digital modulation is an important component of spectrum monitoring. Furthermore, it has been identified recently that spectrum sensing is part of the function in cognitive radio. Works on bilinear time-frequency distribution (TFD) previously does not represent the phase information of a signal and it is incapable to analyze PSK type of signals. The cross TFD method proposed overcomes this problem, and is able to analyze signal carrying phase information like the class of PSK signals. From the cross time-frequency representation (TFR), signal parameters like the subcarrier frequency, instantaneous phase and bit duration can be estimated. The choice of the window width has significant effect on the accuracy of the phase estimation as well as the frequency resolution of the Time Frequency Representation (TFR). It is shown that the cross TFD with appropriate window width can give a complete representation of a phase modulated signal.","phase shift - keying -LRB- psk -RRB- modulation have be apply widely in most of the data communication system nowadays due to its noise immunity and bandwidth efficiency capability . analysis of digital modulation be an important component of spectrum monitoring . furthermore , it have be identify recently that spectrum sense be part of the function in cognitive radio . work on bilinear time-frequency distribution -LRB- tfd -RRB- previously do not represent the phase information of a signal and it be incapable to analyze psk type of signal . the cross tfd method propose overcome this problem , and be able to analyze signal carry phase information like the class of psk signal . from the cross time-frequency representation -LRB- tfr -RRB- , signal parameter like the subcarrier frequency , instantaneous phase and bit duration can be estimate . the choice of the window width have significant effect on the accuracy of the phase estimation as well as the frequency resolution of the time frequency representation -LRB- tfr -RRB- . it be show that the cross tfd with appropriate window width can give a complete representation of a phase modulate signal .",172,0.6666666666666666
78,Aerospace,"This electronic document is a &#x201C;live&#x201D; template. The various components of your paper [title, text, heads, etc.] are already defined on the style sheet, as illustrated by the portions given in this document.","this electronic document be a & # x201c ; live & # x201d ; template . the various component of your paper -LRB- title , text , head , etc. -RRB- be already define on the style sheet , as illustrate by the portion give in this document .",33,0
79,Aerospace,"In this paper, we examine an enhancement of pulsed Multiband Orthogonal Frequency Division Multiplexing (pulsed MB-OFDM) systems for Synthetic Aperture Radar (SAR) Ultra-Wide Band (UWB) applications. The pulsed MB-OFDM system offers an efficient option for fulfilling the UWB high bandwidth channel requirements. This system combines the two major implementations of UWB, namely the impulse radio and the MB-OFDM, in order to capture the advantages of low hardware complexity and low power consumption in both implementations. A modified half-rate Algebraic Time Frequency (ATF) coding will be used to achieve the proposed enhancement of the pulsed system. This enhancement will result in energy efficiency, i.e. SNR vs. SER, improvement which is particularly useful for SAR systems operating under heavy clutter. Improvements in energy efficiency are tested under different UWB channel models. Simulation results are shown to establish these improvements.","in this paper , we examine an enhancement of pulsed multiband orthogonal frequency division multiplex -LRB- pulsed mb-ofdm -RRB- system for synthetic aperture radar -LRB- sar -RRB- ultra-wide band -LRB- uwb -RRB- application . the pulsed mb-ofdm system offer an efficient option for fulfil the uwb high bandwidth channel requirement . this system combine the two major implementation of uwb , namely the impulse radio and the mb-ofdm , in order to capture the advantage of low hardware complexity and low power consumption in both implementation . a modify half-rate algebraic time frequency -LRB- atf -RRB- coding will be use to achieve the propose enhancement of the pulsed system . this enhancement will result in energy efficiency , i.e. snr vs. ser , improvement which be particularly useful for sar system operate under heavy clutter . improvement in energy efficiency be test under different uwb channel model . simulation result be show to establish these improvement .",137,0.6666666666666666
80,Aerospace,"Data security is an essential requirement, especially when sending information over a network. Network security has three goals called confidentiality, integrity and availability (or Access). Encryption is the most common technique used to achieve this goal. However, the computer society has not yet agreed on a standard method to measure data security. The ultimate goal of this study is to define security metrics based on different aspects of network security, and then demonstrate how these metrics could be used in Quality of Service (QoS) routing to find the most secure path connecting two distant nodes (source and destination) across an internetwork. Three security metrics are proposed in this document, these metrics have been derived from three important issues of network security, namely: authentication, encryption and traffic filtration techniques (firewalls and intrusion detection systems). The metrics follow different composition rules in that the first is binary, the second is either concave or additive and the last is multiplicative. Routing algorithms that make use of such metrics have been implemented in the C# programming language to test the viability of the proposed solution. Computational effort and blocking probability are the most commonly used performance measures were used to assess the behavior and the performance of these routing algorithms. Results obtained show that the algorithms were able to find feasible paths between communicating parties and helped in making reasonable savings in the computational effort needed to find an acceptable path. Consequently, higher blocking probabilities were encountered, which is thus the price to be paid for the savings.","data security be an essential requirement , especially when send information over a network . network security have three goal call confidentiality , integrity and availability -LRB- or access -RRB- . encryption be the most common technique use to achieve this goal . however , the computer society have not yet agree on a standard method to measure data security . the ultimate goal of this study be to define security metric base on different aspect of network security , and then demonstrate how these metric could be use in quality of service -LRB- qo -RRB- rout to find the most secure path connect two distant node -LRB- source and destination -RRB- across an internetwork . three security metric be propose in this document , these metric have be derive from three important issue of network security , namely : authentication , encryption and traffic filtration technique -LRB- firewall and intrusion detection system -RRB- . the metric follow different composition rule in that the first be binary , the second be either concave or additive and the last be multiplicative . rout algorithm that make use of such metric have be implement in the c # program language to test the viability of the propose solution . computational effort and block probability be the most commonly use performance measure be use to assess the behavior and the performance of these rout algorithm . result obtain show that the algorithm be able to find feasible path between communicate party and help in make reasonable saving in the computational effort need to find an acceptable path . consequently , high block probability be encounter , which be thus the price to be pay for the saving .",254,0.3333333333333333
81,Aerospace,"Uterine fibroid is the most common benign tumor of the female in the world. Uterine volume measurement before and after surgery has an important role in predict and following the result of surgery. Fibroids segmentation in patient with multi fibroids is the challenging task manually. We propose tow step method for robustly segmentation of these cases. The first step results in a uterine segmentation using FCM and some morphological operations in T1-Enhanced and T1 images. In the second step by applying a new method based on FCM, PCM and information of voxels neighborhoods (Modified PFCM_MPFCM) and knowledge based image processing final segmentation created. We compared manually segmented images results with the output of our system and we obtained 79.9% average of similarity index and 68.28% Jaccard index.","uterine fibroid be the most common benign tumor of the female in the world . uterine volume measurement before and after surgery have an important role in predict and follow the result of surgery . fibroid segmentation in patient with multi fibroid be the challenging task manually . we propose tow step method for robustly segmentation of these case . the first step result in a uterine segmentation use fcm and some morphological operation in t1-enhanced and t1 image . in the second step by apply a new method base on fcm , pcm and information of voxel neighborhood -LRB- modify pfcm mpfcm -RRB- and knowledge base image processing final segmentation create . we compare manually segmented image result with the output of our system and we obtain 79.9 % average of similarity index and 68.28 % jaccard index .",127,1
82,Aerospace,"The supplier selection problem is perhaps the most important component of the purchasing function. Based on the Analytic Hierarchy Process (AHP) and the ordered weighted aggregation (OWA) operator, this paper presents a new decision making approach for supplier selection. There are some important criteria for selection or measuring performance of suppliers, the weights of these criteria are given by AHP. In this paper, we develop an OWA operator that it can relieve the influence of unfair arguments provided by the decision makers. Finally, an illustrative numerical example is given to verify the developed approach.","the supplier selection problem be perhaps the most important component of the purchase function . base on the analytic hierarchy process -LRB- ahp -RRB- and the order weighted aggregation -LRB- owa -RRB- operator , this paper present a new decision make approach for supplier selection . there be some important criterion for selection or measure performance of supplier , the weight of these criterion be give by ahp . in this paper , we develop an owa operator that it can relieve the influence of unfair argument provide by the decision maker . finally , an illustrative numerical example be give to verify the developed approach .",94,0.6666666666666666
83,Aerospace,"This article makes a comparison research to the sales data of Zippo lighter between three real outlets in China and an online shop on Taobao.com. And it analyzes the sales quantities, revenues and consumption characters between the two different markets. It is showed that the online shop sales much more than real outlets but at relative lower prices. It is hoped that these analysis results will help real and online shop to do business better.","this article make a comparison research to the sale data of zippo light between three real outlet in china and an online shop on taobao.com . and it analyze the sale quantity , revenue and consumption character between the two different market . it be show that the online shop sale much more than real outlet but at relative low price . it be hop that these analysis result will help real and online shop to do business better .",75,1
84,Aerospace,"This paper puts forward a fast method of surface reconstruction. Power crust algorithm can reconstruct a good surface that is topological valid and be proved theoretically. But its running time is long. This paper proposes a non-uniformly sampling method to resample the input data set according to the local feature size before reconstruction. Experimental results show that the efficiency of the algorithm has been improved much more.","this paper put forward a fast method of surface reconstruction . power crust algorithm can reconstruct a good surface that be topological valid and be prove theoretically . but its running time be long . this paper propose a non-uniformly sampling method to resample the input data set accord to the local feature size before reconstruction . experimental result show that the efficiency of the algorithm have be improve much more .",67,0.5
85,Aerospace,"Denoising is an essential step in creating perfect point-sampled models. The image mean-shift filtering has been extended to 3D surface smoothing by taking the vertex normal and curvature as range component and the vertex position as the spatial component, which is not efficient. For the reason, this paper proposes to use quasi-Cauchy kernel to replace the Gauss kernel used in the Guofei. Hu'algorithm. Experiments show that our method can smooth the noise efficiently and preserve the sharp features of the surface effectively.","denois be an essential step in create perfect point-sampled model . the image mean-shift filter have be extend to 3d surface smoothing by take the vertex normal and curvature as range component and the vertex position as the spatial component , which be not efficient . for the reason , this paper propose to use quasi-cauchy kernel to replace the gauss kernel use in the guofei . hu'algorithm . experiment show that our method can smooth the noise efficiently and preserve the sharp feature of the surface effectively .",82,0.75
86,Aerospace,"Data replication is an effective way to improve data accessibility in ad hoc networks because of the movement of hosts and the changing of network topology. A new data replication method called Hierarchical Replication Model (HRM) is proposed in this paper. This method selects mobile hosts as data replicas holders taking into account not only data access frequencies and network topology, but also link bandwidth and remaining amount of batteries of hosts. This method groups the network into three hierarchies to improve the data accessibility, and it speeds up the data transmission and increase the data accessing efficiency at the same time. Furthermore, simulation results verify the effectiveness of this method.","data replication be an effective way to improve data accessibility in ad hoc network because of the movement of host and the change of network topology . a new data replication method call hierarchical replication model -LRB- hrm -RRB- be propose in this paper . this method select mobile host as data replica holder take into account not only data access frequency and network topology , but also link bandwidth and remain amount of battery of host . this method group the network into three hierarchy to improve the data accessibility , and it speed up the data transmission and increase the data access efficiency at the same time . furthermore , simulation result verify the effectiveness of this method .",111,1
87,Aerospace,"Text-message is a very important component of mobile industry, and it makes communication faster and more convenient. However, the junk text message really does a lot of harm to mobile users, mobile carriers, and the society at large. In this paper, we design a text-message filtering system which use ACE platform's abundant packages and frames, as well as its portability. This manuscript describes the functionality of such text message filtering system, and designs of its critical components. Finally, we provide example of this system.","text-message be a very important component of mobile industry , and it make communication faster and more convenient . however , the junk text message really do a lot of harm to mobile user , mobile carrier , and the society at large . in this paper , we design a text-message filter system which use ace platform 's abundant package and frame , as well as its portability . this manuscript describe the functionality of such text message filter system , and design of its critical component . finally , we provide example of this system .",84,1
88,Aerospace,"In the past research has been carried out in development of invasive artificial visionary system for visually impaired people. To investigate the possibility of designing and producing a noninvasive artificial visionary system an interdisciplinary research has been carried out. The concept solution is based on the conversion of moving images captured through a camera and converting them into visual signals for optical nerve. The proposed system is EEG based non-invasive brain computer interface (BCI). This compact, easily worn system having head mounted cap, microcomputer worn belt around the waist and a frame mounted camera will have the capabilities of creating images of an object on the brain.","in the past research have be carry out in development of invasive artificial visionary system for visually impair people . to investigate the possibility of design and produce a noninvasive artificial visionary system an interdisciplinary research have be carry out . the concept solution be base on the conversion of move image capture through a camera and convert them into visual signal for optical nerve . the propose system be eeg base non-invasive brain computer interface -LRB- bci -RRB- . this compact , easily worn system have head mount cap , microcomputer worn belt around the waist and a frame mount camera will have the capability of create image of an object on the brain .",107,0.75
89,Aerospace,"In the industry the Modulated IR laser plays an important role for a lot of gigantic sensor modules and laser communications between the transmitter and receiver. So far the method discussed in this paper is about the modulated IR laser retransmitted wave by sensor, after sensing the type modulation of the laser and then transmitting the same laser again.","in the industry the modulated ir laser play an important role for a lot of gigantic sensor module and laser communication between the transmitter and receiver . so far the method discuss in this paper be about the modulated ir laser retransmit wave by sensor , after sense the type modulation of the laser and then transmit the same laser again .",59,0.2
90,Aerospace,"Brand loyalty is an important component of enterprise marketing strategy. The development of a brand name entails a complex structure which must be understood in order to build a string brand. This study aims to analyze the effect of four major constructs of manufacturing, innovation, service and marketing on the development of brand loyalty. The study is based on the factors affecting youth of Pakistan in their loyalty towards certain brands. The results of the study highlight that manufacturing quality of garments does not affect the loyalty attitude of consumers. However, the constructs of innovation, service and marketing have a strong impact on brand loyalty development.","brand loyalty be an important component of enterprise marketing strategy . the development of a brand name entail a complex structure which must be understand in order to build a string brand . this study aim to analyze the effect of four major construct of manufacturing , innovation , service and marketing on the development of brand loyalty . the study be base on the factor affect youth of pakistan in their loyalty towards certain brand . the result of the study highlight that manufacture quality of garment do not affect the loyalty attitude of consumer . however , the construct of innovation , service and marketing have a strong impact on brand loyalty development .",106,0.4
91,Aerospace,"Construction industry is highly risk prone, with complex and dynamic project environments creating an atmosphere of high uncertainty and risk. The industry is vulnerable to various technical, sociopolitical and business risks. The track record to cope with these risks has not been very good in construction industry. As a result, the people working in the industry bear various failures, such as, failure of abiding by quality and operational requirements, cost overruns and uncertain delays in project completion. In light of this, it can be said that an effective systems of risk assessment and management for construction industry remains a challenging task for the industry practitioners. The aim of the this research is to identify and evaluate current risks and uncertainties in the construction industry through extensive literature survey and aims to make a basis for future studies for development of a risk management framework to be adopted by prospective investors, developers and contractors in Pakistan.","construction industry be highly risk prone , with complex and dynamic project environment create an atmosphere of high uncertainty and risk . the industry be vulnerable to various technical , sociopolitical and business risk . the track record to cope with these risk have not be very good in construction industry . as a result , the people work in the industry bear various failure , such as , failure of abide by quality and operational requirement , cost overrun and uncertain delay in project completion . in light of this , it can be say that an effective system of risk assessment and management for construction industry remain a challenging task for the industry practitioner . the aim of the this research be to identify and evaluate current risk and uncertainty in the construction industry through extensive literature survey and aim to make a basis for future study for development of a risk management framework to be adopt by prospective investor , developer and contractor in pakistan .",155,0.6
92,Aerospace,"Disasters, both natural and manmade, of colossal proportions have continued to beleaguer Pakistan especially over the last 3 decades. Response of the government agencies and that of the general community has improved with time but still can be best described as &#x201C;reactive&#x201D;. In the aftermath of the devastating 2005 earthquake corporate sector played its role as a key partner in disaster management. However, corporate sectors role has always been limited to contributions in the post disaster management efforts. The corporate sector possesses huge resources- human, material, technical and financial - and has significant presence in every region of the country. If effectively planned and encouraged the corporate sector can play a significant role in all the three phases i.e. Pre-disaster, disaster and post-disaster. This paper focuses on approaches executives can take to join forces with the relief organizations. A holistic strategy has been devised, that provides an effective framework of cooperation between the corporate sector and disaster management agencies for dealing with all the three disaster management phases. The study consists of discussions with the team leaders and members of disaster management agencies along with representatives of the corporate sector who had been actively involved in coordinating relief activities. Three major areas of public-private cooperation and partnership decisions have been identified over the life cycle of disaster management process i.e. awareness generation, disaster preparedness and mitigation planning for better disaster management.","disaster , both natural and manmade , of colossal proportion have continue to beleaguer pakistan especially over the last 3 decade . response of the government agency and that of the general community have improve with time but still can be best describe as & # x201c ; reactive & # x201d ; . in the aftermath of the devastating 2005 earthquake corporate sector play its role as a key partner in disaster management . however , corporate sector role have always be limit to contribution in the post disaster management effort . the corporate sector possess huge resource - human , material , technical and financial - and have significant presence in every region of the country . if effectively plan and encourage the corporate sector can play a significant role in all the three phase i.e. pre-disaster , disaster and post-disaster . this paper focus on approach executive can take to join force with the relief organization . a holistic strategy have be devise , that provide an effective framework of cooperation between the corporate sector and disaster management agency for deal with all the three disaster management phase . the study consist of discussion with the team leader and member of disaster management agency along with representative of the corporate sector who have be actively involve in coordinate relief activity . three major area of public-private cooperation and partnership decision have be identify over the life cycle of disaster management process i.e. awareness generation , disaster preparedness and mitigation planning for better disaster management .",231,1
93,Aerospace,"Healthcare services are becoming vital and growing immensely with the passage of time, and so is the use of information technology in every aspect of life. Information and communication technologies are essential parts of any healthcare or life critical solution available in this era - the era of information technology. Quality is one of the major issues that are currently being faced. For healthcare and life critical solutions, quality can not be compromised. The use of information technology in healthcare potentially improves quality. This paper discusses the parameters of quality in healthcare, and how information technology ensures quality based on these parameters in some major domains of healthcare; Healthcare Information Management, Emergency Medical Services, Ubiquitous Healthcare and Distributed Diagnosis &amp; Home Healthcare. A framework has also been presented, integrating the four domains, which ensures quality in the provided services satisfying the quality parameters discussed in the paper.","healthcare service be become vital and grow immensely with the passage of time , and so be the use of information technology in every aspect of life . information and communication technology be essential part of any healthcare or life critical solution available in this era - the era of information technology . quality be one of the major issue that be currently be face . for healthcare and life critical solution , quality can not be compromise . the use of information technology in healthcare potentially improve quality . this paper discuss the parameter of quality in healthcare , and how information technology ensure quality base on these parameter in some major domain of healthcare ; healthcare information management , emergency medical service , ubiquitous healthcare and distribute diagnosis & home healthcare . a framework have also be present , integrate the four domain , which ensure quality in the provide service satisfy the quality parameter discuss in the paper .",147,0.2
